,Min_K,Model,Learning rate,Parameters,Eval loss,Test loss,Test perf
33,512,SetTransformer,0.0005,271144,1.2568377640019073,1.2613784483772643,0.6694370568432706
34,512,QUANNTransformer,0.0005,320552,1.1453518215012046,1.148382490366063,0.7898891848198911
35,512,DeepSet,0.001,208808,2.1043514514223056,2.120303557908281,0.698470744680851
36,512,MeanSet,0.001,208808,2.5037315811248537,2.548393583044093,0.6623448583673923
37,512,HPDS,0.001,208809,1.4540116869388742,1.4366179197392566,0.773825355032657
38,512,PointNet,0.001,208808,1.5753211271255574,1.5682848165643977,0.7819148936170213
39,512,QUANN,0.001,209320,2.704372968445433,2.754345988339566,0.6888297872340425
40,512,SetTransformer,0.001,271144,1.2566307472421767,1.2525302710685324,0.6634530146071251
41,512,QUANNTransformer,0.001,320552,1.0453312001329786,1.0579066277184386,0.7611879434737754
42,1024,DeepSet,0.0001,208808,1.610276646436529,1.6154977108569857,0.6303191489361702
43,1024,MeanSet,0.0001,208808,1.7656323618077217,1.7669687372572878,0.5262632978723404
44,1024,HPDS,0.0001,208809,1.2634867791165696,1.25846706742936,0.6581338653539089
45,1024,PointNet,0.0001,208808,0.8063069610519612,0.8196973873579756,0.7914450358837208
46,1024,QUANN,0.0001,209320,2.2117055381866213,2.222917069780065,0.6814051422666996
47,1024,SetTransformer,0.0001,271144,1.1473656525003149,1.1405852158018883,0.6886081562397328
48,1024,QUANNTransformer,0.0001,320552,1.2354481224049914,1.219606750886491,0.7543173763092529
49,1024,DeepSet,0.0005,208808,2.162523608892522,2.172390701288873,0.7101063829787234
50,1024,MeanSet,0.0005,208808,1.7685269345628454,1.7758373377170968,0.6576906030482434
51,1024,HPDS,0.0005,208809,1.370734580653779,1.3889177454278825,0.7611923763092528
52,1024,PointNet,0.0005,208808,1.4915238634703007,1.4799128802532846,0.7907801422666996
53,1024,QUANN,0.0005,209320,3.4918588735955827,3.508882401312919,0.6887189720539336
54,1024,SetTransformer,0.0005,271144,1.1844582259655,1.1930176970806528,0.6742021276595744
55,1024,QUANNTransformer,0.0005,320552,1.4864683675005081,1.4626515536866291,0.7518794328354775
56,1024,DeepSet,0.001,208808,2.0423992536169417,2.042721438915172,0.7145390073035626
57,1024,MeanSet,0.001,208808,2.469201731555005,2.493258337391184,0.6744237592879762
58,1024,HPDS,0.001,208809,1.5754458958164177,1.5941900040240995,0.7763741136865413
59,1024,PointNet,0.001,208808,1.403373802912996,1.3931455491705145,0.7845744680851063
60,1024,QUANN,0.001,209320,2.768398389537284,2.7656742556298037,0.6523714541120732
61,1024,SetTransformer,0.001,271144,1.1919991852755245,1.1878078161401953,0.6933732273730826
62,1024,QUANNTransformer,0.001,320552,0.9885119232091498,0.9955902537766924,0.787229610351806
