,Min_K,Model,Learning rate,Parameters,Eval loss,Test loss,Test perf
0,256,DeepSet,0.0001,208808,1.6192252705705927,1.6002297039995803,0.6586879434737754
1,256,MeanSet,0.0001,208808,1.7884225591700127,1.7963185082090662,0.5087544328354775
2,256,HPDS,0.0001,208809,1.2320908289006416,1.2307142361681511,0.6696586881546264
3,256,PointNet,0.0001,208808,0.8324548877934193,0.8395624100527865,0.7951019507773379
4,256,QUANN,0.0001,209320,2.164451971967169,2.197262966252388,0.6786347519844136
5,256,SetTransformer,0.0001,271144,1.202306182460582,1.1933875312196447,0.6784131206730579
6,256,QUANNTransformer,0.0001,320552,1.176392069744303,1.1968026594595704,0.7506604614156358
7,256,DeepSet,0.0005,208808,2.2259371616738908,2.240279808957526,0.6770833334390153
8,256,MeanSet,0.0005,208808,1.702489638265143,1.7032096449365006,0.6498226954581889
9,256,HPDS,0.0005,208809,1.7445593045112937,1.7241789945896635,0.7655141848198911
10,256,PointNet,0.0005,208808,1.3705863651443035,1.387751064401992,0.7884530146071251
11,256,QUANN,0.0005,209320,3.7011810756744223,3.687721051434253,0.675531914893617
12,256,SetTransformer,0.0005,271144,1.2954715363522793,1.3073616173673184,0.6467198583673923
13,256,QUANNTransformer,0.0005,320552,1.1875229684596365,1.1815994525209388,0.7769237592879762
14,256,DeepSet,0.001,208808,2.097513160807021,2.1096602209070894,0.683843085106383
15,256,MeanSet,0.001,208808,2.274309404352878,2.2839572448679744,0.6610150711333498
16,256,HPDS,0.001,208809,1.6325758549761265,1.6322357619696477,0.7580895392184562
17,256,PointNet,0.001,208808,1.485049473795485,1.500118005465954,0.7877881209901039
18,256,QUANN,0.001,209320,2.601170260538446,2.5996433204792915,0.6600177307078179
19,256,SetTransformer,0.001,271144,1.2691073931278067,1.28265679897146,0.6723182626227115
20,256,QUANNTransformer,0.001,320552,1.0865741176174044,1.096807303327195,0.7604122340425532
21,512,DeepSet,0.0001,208808,1.626112923977223,1.623693733139241,0.6493794328354775
22,512,MeanSet,0.0001,208808,1.7954179416311549,1.7943608240878328,0.5180629434737754
23,512,HPDS,0.0001,208809,1.2328254142974286,1.2316205285965127,0.6687721635432954
24,512,PointNet,0.0001,208808,0.850419910030162,0.8554247497244084,0.786679964750371
25,512,QUANN,0.0001,209320,2.178917166083417,2.187300307002473,0.7041223404255319
26,512,SetTransformer,0.0001,271144,1.1806513033014665,1.1835810003128455,0.6767508866305046
27,512,QUANNTransformer,0.0001,320552,1.0185536200695848,1.0137600553796648,0.7619636529049976
28,512,DeepSet,0.0005,208808,2.3936065467114145,2.409057283021034,0.7115469860269669
29,512,MeanSet,0.0005,208808,1.732891689589683,1.7285298641691818,0.6539228723404256
30,512,HPDS,0.0005,208809,1.5411451198953263,1.5745545080367556,0.7586436170212766
31,512,PointNet,0.0005,208808,1.520397848746878,1.5047304960007364,0.7703900711333498
32,512,QUANN,0.0005,209320,3.472679874998458,3.4570532739162445,0.6664450358837208
33,512,SetTransformer,0.0005,271144,1.2975506700099784,1.3049142138755068,0.659906914893617
34,512,QUANNTransformer,0.0005,320552,1.1318435891511593,1.1361938842433563,0.7897783690056903
35,512,DeepSet,0.001,208808,2.216342456797336,2.2043634218738437,0.6865026595744681
36,512,MeanSet,0.001,208808,2.554143211308946,2.517436106154259,0.6664450358837208
