,Min_K,Model,Learning rate,Parameters,Eval loss,Test loss,Test perf
0,256,DeepSet,0.0001,208808,1.5929975179915732,1.5880717197631269,0.6457225179418604
1,256,MeanSet,0.0001,208808,1.7906829410410945,1.784065082986304,0.5173980498567541
2,256,HPDS,0.0001,208809,1.2786680282430445,1.2723227194015017,0.6587987589709302
3,256,PointNet,0.0001,208808,0.8791430852514632,0.8552693859376805,0.7851285465220188
4,256,QUANN,0.0001,209320,2.0694545653272183,2.084145687361981,0.674645390282286
5,256,SetTransformer,0.0001,271144,1.160872824648593,1.1571679451364152,0.6790780142900792
6,256,QUANNTransformer,0.0001,320552,1.2725909872892056,1.2752925395965575,0.749552305175903
7,256,DeepSet,0.0005,208808,2.5307043220134493,2.5488728696995597,0.692929964750371
8,256,MeanSet,0.0005,208808,1.8459712796388787,1.8446871879252984,0.6551418440773132
9,256,HPDS,0.0005,208809,1.50645828548264,1.506717325842127,0.7601950358837208
10,256,PointNet,0.0005,208808,1.484197236121969,1.4518708833988676,0.7905585106382979
11,256,QUANN,0.0005,209320,3.483575237558243,3.508478163404668,0.6749778370907966
12,256,SetTransformer,0.0005,271144,1.2445919729293662,1.2320536914023947,0.6842863477290945
13,256,QUANNTransformer,0.0005,320552,1.3252283290979712,1.3116668200239223,0.7852349295007423
14,256,DeepSet,0.001,208808,2.252828524150747,2.2237468139922365,0.6945921987929242
15,256,MeanSet,0.001,208808,2.3075217490500592,2.313123794312173,0.6687721635432954
16,256,HPDS,0.001,208809,1.645905448242705,1.6778070279892454,0.7476728723404256
17,256,PointNet,0.001,208808,1.539712293667996,1.5071946537875114,0.7767065604950519
18,256,QUANN,0.001,209320,2.7166619342058262,2.75882207523001,0.6578014188624443
19,256,SetTransformer,0.001,271144,1.261669558730531,1.2598799165893109,0.662677305175903
20,256,QUANNTransformer,0.001,320552,0.9013558014910271,0.8914399639089058,0.7814671987929243
21,512,DeepSet,0.0001,208808,1.4705182859238155,1.4735373100067706,0.6553634753886689
22,512,MeanSet,0.0001,208808,1.787398467672632,1.7914821454819212,0.52847961003476
23,512,HPDS,0.0001,208809,1.3240976352640923,1.3177177221217051,0.65625
24,512,PointNet,0.0001,208808,0.8142565396871972,0.8137926313471286,0.788563829787234
25,512,QUANN,0.0001,209320,2.115577335687394,2.1555587348151715,0.6860593975858486
26,512,SetTransformer,0.0001,271144,1.1929976864063994,1.1696968566864094,0.6693262413461157
27,512,QUANNTransformer,0.0001,320552,1.2569961431178642,1.2271231061600623,0.7507712765957447
28,512,DeepSet,0.0005,208808,2.2223833913498736,2.235381621629634,0.7153147167347848
29,512,MeanSet,0.0005,208808,1.857792157442012,1.858491222275064,0.6550310285801583
30,512,HPDS,0.0005,208809,1.524420917668241,1.5073746823249978,0.7752659574468085
