,Min_K,Model,Learning rate,Parameters,Eval loss,Test loss,Test perf
0,256,DeepSet,0.0001,208808,1.5488278960928004,1.529542141138239,0.6432845744680851
1,256,MeanSet,0.0001,208808,1.7911558620473171,1.7879323452077014,0.527593085106383
2,256,HPDS,0.0001,208809,1.28088412132669,1.2728240547027994,0.6467198583673923
3,256,PointNet,0.0001,208808,0.8484851949392481,0.8223916561679637,0.7874556741815932
4,256,QUANN,0.0001,209320,2.35120695005072,2.349667548499209,0.6790780146071251
5,256,SetTransformer,0.0001,271144,1.1916326043453622,1.1836943467880816,0.6678856382978723
6,256,QUANNTransformer,0.0001,320552,1.0226146752212912,1.0086250559446661,0.7502171987929243
7,256,DeepSet,0.0005,208808,2.179818254836062,2.198759527916604,0.7147606382978723
8,256,MeanSet,0.0005,208808,1.7803027788375287,1.7798154645777764,0.6414007094312222
9,256,HPDS,0.0005,208809,1.601611261989208,1.584986298008168,0.762854610351806
10,256,PointNet,0.0005,208808,1.464130902702504,1.3834025810690636,0.7887854614156358
11,256,QUANN,0.0005,209320,3.5584321865376007,3.5507057898856225,0.6859485817716476
12,256,SetTransformer,0.0005,271144,1.2917180378386317,1.2842414512279186,0.6592420212765957
13,256,QUANNTransformer,0.0005,320552,1.2411963058913007,1.2026650861856787,0.7925487592879762
14,256,DeepSet,0.001,208808,2.068598385820997,2.0651136364074465,0.71875
15,256,MeanSet,0.001,208808,2.372458937320304,2.359523592477149,0.6537012413461157
16,256,HPDS,0.001,208809,1.5904249014689569,1.5516172656987577,0.7718306741815932
17,256,PointNet,0.001,208808,1.6709643548473398,1.6340395906504164,0.7958776595744681
18,256,QUANN,0.001,209320,2.845389349029419,2.8796862087985304,0.6763076243248392
19,256,SetTransformer,0.001,271144,1.2375124921189975,1.2175050124208977,0.676529255319149
20,256,QUANNTransformer,0.001,320552,1.06960279928877,1.064296414940915,0.7824645392184563
21,512,DeepSet,0.0001,208808,1.5689251365813803,1.5814810902514356,0.6464982273730826
22,512,MeanSet,0.0001,208808,1.7873254963692198,1.7858502091245447,0.5056515957446809
