,Min_K,Model,Learning rate,Parameters,Eval loss,Test loss,Test perf
0,256,FSPool,0.0001,208036,0.79708078677984,0.7925435907029091,0.8026374115588817
1,256,SlotAtt,0.0001,288808,1.261666290303494,1.2480924719191613,0.7211879434737754
2,256,FSPool,0.0005,208036,1.2453996203047164,1.232345202977353,0.8096187945376051
3,256,SlotAtt,0.0005,288808,1.3272487758956057,1.3073449816475524,0.741688829787234
4,256,FSPool,0.001,208036,1.5697640954179968,1.571191964631385,0.7732712765957447
5,256,SlotAtt,0.001,288808,1.600680300529967,1.5966494159495577,0.5328014185453983
6,512,FSPool,0.0001,208036,0.8790976692070352,0.883949171989522,0.773825355032657
7,512,SlotAtt,0.0001,288808,1.1945921414076013,1.2069784463086026,0.7257313829787234
8,512,FSPool,0.0005,208036,1.3726879849712899,1.376464676032675,0.8098404255319149
9,512,SlotAtt,0.0005,288808,0.953510916613518,0.9643765802079058,0.746343085106383
10,512,FSPool,0.001,208036,1.3269427485288459,1.3593889341709462,0.8047429082241464
11,512,SlotAtt,0.001,288808,1.2857388131161953,1.2648458220857255,0.6379654255319149
12,1024,FSPool,0.0001,208036,0.817462498837329,0.8190653118047309,0.8030806741815932
13,1024,SlotAtt,0.0001,288808,1.2122305181432278,1.2132416497519676,0.7080008869475507
14,1024,FSPool,0.0005,208036,1.3060087338089943,1.3301362893048754,0.8158244680851063
15,1024,SlotAtt,0.0005,288808,1.3160683160766642,1.3507648934709264,0.7338209221971795
16,1024,FSPool,0.001,208036,1.3724012229036777,1.3974574205089123,0.803302305175903
17,1024,SlotAtt,0.001,288808,1.541789174079895,1.5687958192318043,0.5500886525879515
