,Min_K,Model,Learning rate,Parameters,Eval loss,Test loss,Test perf
0,256,FSPool,0.0001,208036,0.8296433994744686,0.8302997442636084,0.7805851063829787
1,256,SlotAtt,0.0001,288808,1.1082213730254071,1.1145307849696342,0.7283909574468085
2,256,FSPool,0.0005,208036,1.3008890735342147,1.277795396903728,0.7966533690056903
3,256,SlotAtt,0.0005,288808,1.1564918455291302,1.1671648935434666,0.7437943264524988
4,256,FSPool,0.001,208036,1.518981321060911,1.4822576337672295,0.7957668443943592
5,256,SlotAtt,0.001,288808,2.0525803007978074,2.0839962578834372,0.44326241155888174
6,512,FSPool,0.0001,208036,0.8259988317781306,0.801404743435535,0.804188829787234
7,512,SlotAtt,0.0001,288808,1.2041134273118161,1.1544340595285942,0.7231826243248392
8,512,FSPool,0.0005,208036,1.2892220061510167,1.2557504018570513,0.8148271276595744
9,512,SlotAtt,0.0005,288808,1.020842212945857,1.0062516772366585,0.7176418443943592
10,512,FSPool,0.001,208036,1.2686956166586978,1.263848936779702,0.8096187945376051
11,512,SlotAtt,0.001,288808,2.776900347242964,2.802617557505344,0.29853723404255317
12,1024,FSPool,0.0001,208036,0.8794053272998079,0.8773257153782439,0.7764849295007422
13,1024,SlotAtt,0.0001,288808,1.1254895253384367,1.1339706613662395,0.7334884753886689
14,1024,FSPool,0.0005,208036,1.3792360768990313,1.3873084049592628,0.7958776595744681
15,1024,SlotAtt,0.0005,288808,1.1859479765308665,1.1623775692696268,0.7431294328354775
16,1024,FSPool,0.001,208036,1.3811044303026605,1.3882660057316436,0.7960992912028698
17,1024,SlotAtt,0.001,288808,1.6825034656423203,1.6988201712040192,0.5132978723404256
