,Min_K,Model,Learning rate,Parameters,Eval loss,Test loss,Test perf
0,256,FSPool,0.0001,208036,0.7924905882236806,0.8012742580885582,0.7967641848198911
1,256,SlotAtt,0.0001,288808,1.1472422623253884,1.1453404191960679,0.7273936170212766
2,256,FSPool,0.0005,208036,1.4044254764597466,1.4066763509144173,0.8030806741815932
3,256,SlotAtt,0.0005,288808,1.1599697664063027,1.1867686760552385,0.7517730498567541
4,256,FSPool,0.001,208036,1.3542291851753885,1.3572937078932499,0.7980939720539336
5,256,SlotAtt,0.001,288808,1.5532973383335358,1.5497989413586069,0.5370124115588817
6,512,FSPool,0.0001,208036,0.8278389604801827,0.8300261487986179,0.7916666668780307
7,512,SlotAtt,0.0001,288808,1.2518716058198442,1.2311986294832635,0.7200797872340425
8,512,FSPool,0.0005,208036,1.449417936992138,1.4251231237294826,0.7975398936170213
9,512,SlotAtt,0.0005,288808,1.2385284818233329,1.2162557399653373,0.7427969860269669
10,512,FSPool,0.001,208036,1.33196453987918,1.3309345659106335,0.803302305175903
11,512,SlotAtt,0.001,288808,1.4534236573158426,1.4366823212897524,0.5811170212765957
12,1024,FSPool,0.0001,208036,0.8548233536012629,0.8524210476811896,0.7973182626227115
13,1024,SlotAtt,0.0001,288808,1.1674637133453756,1.1789166895633048,0.7326019507773379
14,1024,FSPool,0.0005,208036,1.3565308827352016,1.3505805429626019,0.8085106382978723
15,1024,SlotAtt,0.0005,288808,1.3271402003283197,1.2677603259365609,0.7577570924099456
16,1024,FSPool,0.001,208036,1.369659163850419,1.3530239109346207,0.8044104614156358
17,1024,SlotAtt,0.001,288808,1.5596462424765243,1.5550146477019533,0.5557402486496783
