,Max_k,Model,Learning rate,Parameters,Eval loss,Test loss,Test perf
23,16,PointNet,0.0001,111666,0.3206819806780134,0.3172328833569872,0.5141706701288832
24,16,HPDS,0.0001,111667,0.3204996216864813,0.31746389447374546,0.5161840662043146
25,16,QUANN,0.0001,112178,0.31134740937323796,0.3082759979557484,0.5297056056083517
26,16,SetTransformer,0.0001,172722,0.30795207761582877,0.3042194339189124,0.5312989804338901
27,16,QUANNTransformer,0.0001,155826,0.3038386603196462,0.30085766886142973,0.5440243381135007
28,16,DeepSet,0.0005,111666,0.3171907597117954,0.314083254083674,0.5229346974098936
29,16,MeanSet,0.0005,111666,0.3165708070709592,0.313229908017402,0.5212434232234955
30,16,PointNet,0.0005,111666,0.3220167443865821,0.3180900178057082,0.518468422458527
31,16,HPDS,0.0005,111667,0.3199440940978035,0.3165590652125947,0.5152475542210518
32,16,QUANN,0.0005,112178,0.2894390111877805,0.2868084542928858,0.5683802613552581
33,16,SetTransformer,0.0005,172722,0.3063025238021972,0.3036104183881841,0.5369201575187926
34,16,QUANNTransformer,0.0005,155826,0.26751815894293407,0.26360966090826277,0.5996470857173839
35,16,DeepSet,0.001,111666,0.3164185919458904,0.3135222408999788,0.5193928308943485
36,16,MeanSet,0.001,111666,0.3167552739854843,0.31368904259610686,0.5186048752449929
37,16,PointNet,0.001,111666,0.3239621330821325,0.3197977787002604,0.5185280962193266
38,16,HPDS,0.001,111667,0.32038748879281304,0.317386860860155,0.5164956989440512
39,16,QUANN,0.001,112178,0.2936489832779718,0.2920484393835068,0.5632807904101432
40,16,SetTransformer,0.001,172722,0.3107030368040478,0.30758832299962957,0.5325452958015685
41,16,QUANNTransformer,0.001,155826,0.2640321621346095,0.2622716227110396,0.6105002424818404
42,32,DeepSet,0.0001,111666,0.34338256669422934,0.345201738337253,0.5623589183421845
43,32,MeanSet,0.0001,111666,0.34586574728526764,0.34747021185590865,0.5606633545236385
44,32,PointNet,0.0001,111666,0.3500186536047194,0.3515530466399294,0.5529775435620166
45,32,HPDS,0.0001,111667,0.3479424204145159,0.34987717074282626,0.5570224225521088
46,32,QUANN,0.0001,112178,0.33813154602807666,0.3401524526007632,0.5684904633684361
47,32,SetTransformer,0.0001,172722,0.3360769658807724,0.33781989235827264,0.5724265531022498
48,32,QUANNTransformer,0.0001,155826,0.333058115981874,0.335090788755011,0.5758609828796792
49,32,DeepSet,0.0005,111666,0.3445010705599709,0.34629302582842236,0.5592856337415412
50,32,MeanSet,0.0005,111666,0.344083619496179,0.3460374579150626,0.5613222895784581
51,32,PointNet,0.0005,111666,0.35123382485102095,0.3525761128106016,0.554265872595158
52,32,HPDS,0.0005,111667,0.347747639531181,0.34958751309425273,0.5582908157338488
53,32,QUANN,0.0005,112178,0.31867193135004196,0.3209783637777288,0.5923759949968216
54,32,SetTransformer,0.0005,172722,0.3341562000531999,0.33572803564528203,0.5758236348628998
55,32,QUANNTransformer,0.0005,155826,0.29868851389203754,0.29944824284695565,0.6177672946706732
56,32,DeepSet,0.001,111666,0.34534963634279037,0.34731289776081736,0.5621641208516791
57,32,MeanSet,0.001,111666,0.3451584345764584,0.3468819371563323,0.560601200829161
58,32,PointNet,0.001,111666,0.3521191988672529,0.35353056293852786,0.5551710547284877
59,32,HPDS,0.001,111667,0.34748669228856527,0.34949260157473544,0.5576604243288649
60,32,QUANN,0.001,112178,0.31437400976816815,0.3145403262782604,0.6035758504208099
61,32,SetTransformer,0.001,172722,0.3375821009514824,0.3400276208177526,0.5673976838588715
62,32,QUANNTransformer,0.001,155826,0.2920172143550146,0.29349824278912645,0.6229226177043103
