,Max_k,Model,Learning rate,Parameters,Eval loss,Test loss,Test perf
0,8,DeepSet,0.0001,111666,0.25874940317774575,0.2583569622737296,0.5040198742075169
1,8,MeanSet,0.0001,111666,0.26176128832120743,0.2618951483609829,0.5014494749459815
2,8,PointNet,0.0001,111666,0.26306994756062824,0.2633266160462765,0.5014931277391759
3,8,HPDS,0.0001,111667,0.2647488982904525,0.2653016188043229,0.5001449924200139
4,8,QUANN,0.0001,112178,0.25508709748586017,0.2556988332182803,0.5112141088602391
5,8,SetTransformer,0.0001,172722,0.25176431191346,0.25180262168671225,0.5154128499487614
6,8,QUANNTransformer,0.0001,155826,0.2438623798745019,0.2440397249574357,0.5331184280679581
7,8,DeepSet,0.0005,111666,0.2601239357202772,0.2600062126491932,0.5070924159694226
8,8,MeanSet,0.0005,111666,0.2598188954686362,0.25944560528435606,0.5035924147418205
9,8,PointNet,0.0005,111666,0.2650159852845328,0.2652429337514208,0.5048074142095891
10,8,HPDS,0.0005,111667,0.26406663632582106,0.2643099626962175,0.5004764643121273
11,8,QUANN,0.0005,112178,0.23533610195394547,0.23489501390685427,0.5583997470267276
12,8,SetTransformer,0.0005,172722,0.2520121584335963,0.25243395582792605,0.5169691582943531
13,8,QUANNTransformer,0.0005,155826,0.22332705249862064,0.22485567676894208,0.5810100613756383
14,8,DeepSet,0.001,111666,0.260596702023158,0.26096792994661533,0.5060093399692089
15,8,MeanSet,0.001,111666,0.26013788155147005,0.25978200438808885,0.5032332311285302
16,8,PointNet,0.001,111666,0.2651517738898595,0.2656834689860648,0.5044176074418616
17,8,HPDS,0.001,111667,0.2641032366525559,0.2645185318716029,0.5003238475703179
18,8,QUANN,0.001,112178,0.23209001904442197,0.23391763992766115,0.5653164025316847
19,8,SetTransformer,0.001,172722,0.2544244277098822,0.2542113034015006,0.513954353142292
20,8,QUANNTransformer,0.001,155826,0.22034417967947703,0.22051041176978578,0.5905371517577069
21,16,DeepSet,0.0001,111666,0.31375843523040653,0.31214384924858174,0.5237868605776036
22,16,MeanSet,0.0001,111666,0.31790246944578865,0.3155505038956378,0.519498568900088
23,16,PointNet,0.0001,111666,0.31984612960664055,0.3180319942692493,0.5156348740800898
24,16,HPDS,0.0001,111667,0.3202280430566697,0.31779720872006517,0.5180109010097829
25,16,QUANN,0.0001,112178,0.31109220167947194,0.3093707304685674,0.5292863161005872
26,16,SetTransformer,0.0001,172722,0.3066079450978173,0.30504807259174105,0.5342528458605421
27,16,QUANNTransformer,0.0001,155826,0.30072922507921857,0.2996196832428587,0.5453293095243738
28,16,DeepSet,0.0005,111666,0.3151738927477882,0.31410782990303443,0.522399254935853
29,16,MeanSet,0.0005,111666,0.3151681224505107,0.3127650580507644,0.5218456070473854
30,16,PointNet,0.0005,111666,0.3212294734659649,0.31920038385594146,0.5174058181174258
31,16,HPDS,0.0005,111667,0.3193753068409269,0.31688598337325646,0.5174374199928121
32,16,QUANN,0.0005,112178,0.2892937106745584,0.2885148328669528,0.5678415133598003
33,16,SetTransformer,0.0005,172722,0.3047919240262773,0.3037827541219427,0.5369488095983546
34,16,QUANNTransformer,0.0005,155826,0.2696124745739831,0.2677107187027627,0.5942334482010375
35,16,DeepSet,0.001,111666,0.31579271053511,0.3141012362977292,0.5233120017863334
36,16,MeanSet,0.001,111666,0.3155536467120761,0.31375967695357954,0.5204425720458336
37,16,PointNet,0.001,111666,0.3232021875797756,0.32032540408854787,0.5187587224422617
38,16,HPDS,0.001,111667,0.32007898792387945,0.3178132709036482,0.5152159123978717
39,16,QUANN,0.001,112178,0.2865451616900308,0.28654198570454376,0.574149489402771
40,16,SetTransformer,0.001,172722,0.30868331780509345,0.3073310230640655,0.5351472198963165
41,16,QUANNTransformer,0.001,155826,0.2609669327262848,0.26066798494851334,0.6088634114316169
