,Max_k,Model,Learning rate,Parameters,Eval loss,Test loss,Test perf
0,8,DeepSet,0.0001,111666,0.25852479679243906,0.25865072709448794,0.5047752283355023
1,8,MeanSet,0.0001,111666,0.26181528468926746,0.2625463310074299,0.5014146201788111
2,8,PointNet,0.0001,111666,0.26313895767643336,0.2637948707697239,0.5011316845391659
3,8,HPDS,0.0001,111667,0.26519037239135257,0.2657700168325546,0.5001329430874358
4,8,QUANN,0.0001,112178,0.25514725039875696,0.2561830978127236,0.5110400737600124
5,8,SetTransformer,0.0001,172722,0.2527435239818361,0.25247945145089573,0.5171784961477239
6,8,QUANNTransformer,0.0001,155826,0.24422462639354525,0.24474444636639128,0.5308811924559005
7,8,DeepSet,0.0005,111666,0.26071437176257845,0.26132989326056016,0.5055080474691188
8,8,MeanSet,0.0005,111666,0.2602927140773289,0.26029193274518275,0.5041826605162723
9,8,PointNet,0.0005,111666,0.263751589116596,0.2645227779099282,0.5035246864278266
10,8,HPDS,0.0005,111667,0.26430339330718633,0.2646605538878035,0.5002873600163358
11,8,QUANN,0.0005,112178,0.2387029348857819,0.238884595797417,0.5520965304780514
12,8,SetTransformer,0.0005,172722,0.25062064542656853,0.25135226436751956,0.514311174445964
13,8,QUANNTransformer,0.0005,155826,0.22319140628216758,0.22343723951502048,0.582865798092903
14,8,DeepSet,0.001,111666,0.2611322251577226,0.2615411330727821,0.5048026952971804
15,8,MeanSet,0.001,111666,0.2602316588163376,0.2611304521560669,0.5043657466452173
16,8,PointNet,0.001,111666,0.2656769324389715,0.266545518281612,0.5050183778747599
17,8,HPDS,0.001,111667,0.2641351662930988,0.26460447305060447,0.5004494707001016
18,8,QUANN,0.001,112178,0.2344832961994504,0.23326560902468702,0.57018307168433
19,8,SetTransformer,0.001,172722,0.25423396390581887,0.2545357197523117,0.5134289473929303
20,8,QUANNTransformer,0.001,155826,0.22015777088346936,0.2207075265493799,0.5919886802105193
21,16,DeepSet,0.0001,111666,0.3095251440055787,0.3133642102809662,0.5254327293406141
22,16,MeanSet,0.0001,111666,0.3133859866195255,0.3171356076255758,0.5189760086384225
23,16,PointNet,0.0001,111666,0.31574676907251753,0.31958573010373625,0.5166792191089468
24,16,HPDS,0.0001,111667,0.3157485695112319,0.3195292239493512,0.5166444676987668
25,16,QUANN,0.0001,112178,0.3067626834861816,0.3096690098655985,0.5312160031592592
26,16,SetTransformer,0.0001,172722,0.3031631935210455,0.30641992929133965,0.5379537813206936
27,16,QUANNTransformer,0.0001,155826,0.29806643298694063,0.3015994477145215,0.5451214085233972
28,16,DeepSet,0.0005,111666,0.3109059452064454,0.31531571676122383,0.5244573088402443
29,16,MeanSet,0.0005,111666,0.3109859729570056,0.31464641081525924,0.5223534195981128
30,16,PointNet,0.0005,111666,0.31703401463372366,0.3205313229180397,0.5188779672409626
31,16,HPDS,0.0005,111667,0.3152940561847081,0.319232961598863,0.5176543006871609
32,16,QUANN,0.0005,112178,0.286279690171045,0.2887580914700285,0.5666745343106858
33,16,SetTransformer,0.0005,172722,0.3021723126608228,0.30519959013512793,0.5420335848280724
34,16,QUANNTransformer,0.0005,155826,0.2659293150617963,0.2671031412926126,0.6018678843975067
35,16,DeepSet,0.001,111666,0.31095325095312937,0.3154103740098629,0.5244638507670545
36,16,MeanSet,0.001,111666,0.3114021183952453,0.3153742938599688,0.5217604288395415
37,16,PointNet,0.001,111666,0.31892938840956914,0.3227384242605656,0.5158591352878733
38,16,HPDS,0.001,111667,0.3168243325891949,0.32087281568253295,0.5156833466063154
39,16,QUANN,0.001,112178,0.2839901494601416,0.28661727397999864,0.5707436362479595
40,16,SetTransformer,0.001,172722,0.3049628810277061,0.3080895210200168,0.5290732903683439
41,16,QUANNTransformer,0.001,155826,0.26276272298797726,0.2644391261199687,0.6077328641363915
42,32,DeepSet,0.0001,111666,0.3448317571291848,0.3438456952571869,0.5606532008089917
43,32,MeanSet,0.0001,111666,0.3478462700805967,0.34697597553121284,0.5580000059401735
44,32,PointNet,0.0001,111666,0.3516383861738538,0.3506735661562453,0.553702618847502
45,32,HPDS,0.0001,111667,0.3501511774365864,0.34887044892666186,0.555111935798158
46,32,QUANN,0.0001,112178,0.3413759209806957,0.3403454622689714,0.5666247733095859
47,32,SetTransformer,0.0001,172722,0.3379415595342243,0.3368193063330143,0.5733775997415502
48,32,QUANNTransformer,0.0001,155826,0.33600465551255243,0.3355445573304562,0.57475216972067
49,32,DeepSet,0.0005,111666,0.3469387959866297,0.3456929088272947,0.5599638705557966
50,32,MeanSet,0.0005,111666,0.34675541662034537,0.34584554522595506,0.5593679674128269
51,32,PointNet,0.0005,111666,0.3524370236056192,0.35170996284231226,0.5564425188176175
52,32,HPDS,0.0005,111667,0.3494986305161128,0.34833685958639105,0.5564455707022484
53,32,QUANN,0.0005,112178,0.31772922570743256,0.3156903858514542,0.5952822857714714
54,32,SetTransformer,0.0005,172722,0.3380544630308,0.3370368946739968,0.5680116554524036
55,32,QUANNTransformer,0.0005,155826,0.3021838631894853,0.3011510495809799,0.6169958780420587
56,32,DeepSet,0.001,111666,0.34710336488390725,0.34651257922040657,0.5586676122026241
57,32,MeanSet,0.001,111666,0.3474531651489318,0.3463828769770074,0.5585387602765509
58,32,PointNet,0.001,111666,0.35388251713344027,0.3524818864274532,0.5512134115746681
59,32,HPDS,0.001,111667,0.34987602820472113,0.34871735629883216,0.5549066459878962
60,32,QUANN,0.001,112178,0.3212042280605861,0.31930572967580023,0.5975914458011059
61,32,SetTransformer,0.001,172722,0.339641696403897,0.337864469023461,0.5700248517888657
62,32,QUANNTransformer,0.001,155826,0.29514002705377246,0.29359082719112967,0.6207828426614721
