,Max_k,Model,Learning rate,Parameters,Eval loss,Test loss,Test perf
0,8,DeepSet,0.0001,111666,0.2577731375183378,0.2572257082830084,0.5035544900183982
1,8,MeanSet,0.0001,111666,0.2611469711576189,0.26066721785575786,0.5012386387332957
2,8,PointNet,0.0001,111666,0.2624843988626722,0.2620260400023866,0.5018124073109729
3,8,HPDS,0.0001,111667,0.26437676615185207,0.2637305873188567,0.5002319489387755
4,8,QUANN,0.0001,112178,0.2543139564139502,0.25372478698796413,0.5123670925485327
5,8,SetTransformer,0.0001,172722,0.2525502102715628,0.25160059221881503,0.5144064210830851
6,8,QUANNTransformer,0.0001,155826,0.2437175422433823,0.2432115984723923,0.5280128387694664
7,8,DeepSet,0.0005,111666,0.2602319076420769,0.25947621591547704,0.5056913016324348
8,8,MeanSet,0.0005,111666,0.2592838392371223,0.2585182522839688,0.502303993765344
9,8,PointNet,0.0005,111666,0.26338289276001947,0.2628807305021489,0.5056890639218878
10,8,HPDS,0.0005,111667,0.26324347418452065,0.2627798929176432,0.5008417050889198
11,8,QUANN,0.0005,112178,0.23814762632052103,0.23590486671062225,0.5523815573529994
12,8,SetTransformer,0.0005,172722,0.25195244427711244,0.2507162354093917,0.5188757479190826
13,8,QUANNTransformer,0.0005,155826,0.2237042791786648,0.22247473340719304,0.5813868147261599
14,8,DeepSet,0.001,111666,0.25973417054093073,0.2595738120218541,0.5046687408330592
15,8,MeanSet,0.001,111666,0.2592475170653964,0.25843934762351056,0.5025618735780107
16,8,PointNet,0.001,111666,0.2650680076035242,0.26440229060802056,0.5065117687621015
17,8,HPDS,0.001,111667,0.2643583525740911,0.26372671317546925,0.500482015787287
18,8,QUANN,0.001,112178,0.23411378832090468,0.23372631837078867,0.5651257057139214
19,8,SetTransformer,0.001,172722,0.25390319833679803,0.2533434638951687,0.512111559827277
20,8,QUANNTransformer,0.001,155826,0.21772525495006925,0.21705164284782208,0.5868943790172009
21,16,DeepSet,0.0001,111666,0.31277659961155485,0.3109074945145465,0.5226472058194749
22,16,MeanSet,0.0001,111666,0.31633876193137395,0.3145740916754337,0.5203837619182912
23,16,PointNet,0.0001,111666,0.3184426923592885,0.3167404630716811,0.5146002446083312
24,16,HPDS,0.0001,111667,0.3192337935879117,0.3171126040372443,0.5150706171989441
25,16,QUANN,0.0001,112178,0.30839487579133773,0.3071640546017505,0.5303742099315563
26,16,SetTransformer,0.0001,172722,0.30603737253991387,0.30325309361549135,0.5334437939714878
