,Max_k,Model,Learning rate,Parameters,Eval loss,Test loss,Test perf
27,16,QUANNTransformer,0.0001,155826,0.2996522921418387,0.2981161373726865,0.544065351181842
28,16,DeepSet,0.0005,111666,0.31623930401272243,0.31401144538788084,0.5221862177899543
29,16,MeanSet,0.0005,111666,0.31449155958871994,0.31242852578771874,0.522672082515473
30,16,PointNet,0.0005,111666,0.3192884562507508,0.3171526574073954,0.5178804340514731
31,16,HPDS,0.0005,111667,0.31784510896319434,0.3158075663637608,0.5179576689892627
32,16,QUANN,0.0005,112178,0.29099627808919026,0.28927676189453044,0.5612752558069026
33,16,SetTransformer,0.0005,172722,0.30461865190475707,0.3022192529541381,0.537774236278331
34,16,QUANNTransformer,0.0005,155826,0.26993722811577814,0.270300732965165,0.593048816031598
35,16,DeepSet,0.001,111666,0.3146023281982967,0.3127492552107953,0.5235293012984256
36,16,MeanSet,0.001,111666,0.3151745744167812,0.3135714369251373,0.5209808387654893
37,16,PointNet,0.001,111666,0.321358116846236,0.3199134719498614,0.5171164302749837
38,16,HPDS,0.001,111667,0.3182792526388925,0.31622559783306525,0.5174832477214488
39,16,QUANN,0.001,112178,0.2883776710146949,0.28622487250794754,0.5750923803512086
40,16,SetTransformer,0.001,172722,0.3077467651594253,0.30542177025308,0.5310026153605035
41,16,QUANNTransformer,0.001,155826,0.263447651314357,0.26124583707844956,0.6102731893671319
42,32,DeepSet,0.0001,111666,0.344709264853644,0.34618829983346006,0.5633595465345586
43,32,MeanSet,0.0001,111666,0.3465085114751543,0.34810885216327425,0.5565172205580041
44,32,PointNet,0.0001,111666,0.35108031592671834,0.3518086129680593,0.5536343360200842
45,32,HPDS,0.0001,111667,0.3490041366645268,0.3502286495046413,0.5552760147033854
46,32,QUANN,0.0001,112178,0.3399013067994799,0.34156391373340117,0.5671499213005634
47,32,SetTransformer,0.0001,172722,0.3373355922244844,0.33878387986345493,0.5686032740359611
48,32,QUANNTransformer,0.0001,155826,0.3345224748528193,0.3363438289850316,0.5748625651318976
49,32,DeepSet,0.0005,111666,0.34662192113815793,0.3484942764043808,0.5567124308423793
50,32,MeanSet,0.0005,111666,0.3450946060438005,0.3469572945478115,0.5588718963430283
51,32,PointNet,0.0005,111666,0.3522129531890627,0.3537011466761853,0.5538197578267848
52,32,HPDS,0.0005,111667,0.348348149231502,0.34938601325166985,0.5554823856404487
53,32,QUANN,0.0005,112178,0.32164727506183444,0.322014977323248,0.5912237953632435
54,32,SetTransformer,0.0005,172722,0.3352915214167701,0.33746531510606725,0.5721022689596136
55,32,QUANNTransformer,0.0005,155826,0.2994604820296878,0.3016833168395022,0.6163260511895443
56,32,DeepSet,0.001,111666,0.3457444882582104,0.3475393171006061,0.5596169620118243
57,32,MeanSet,0.001,111666,0.3453151323492565,0.34709906134199586,0.5589475111758455
58,32,PointNet,0.001,111666,0.35449089180855525,0.35555576168476266,0.5533681879652307
59,32,HPDS,0.001,111667,0.34846255940104287,0.3498464898860201,0.5571160551081312
60,32,QUANN,0.001,112178,0.32209584826514837,0.3238775952065245,0.5913783628889855
61,32,SetTransformer,0.001,172722,0.33889865827938864,0.3405421962763401,0.56679519630493
62,32,QUANNTransformer,0.001,155826,0.29181868074432255,0.29468558760399516,0.6228666749406369
