,Agg func,Model,Learning rate,Parameters,Eval loss,Test loss
0,mean,FSPool,0.0001,99093,0.15690724977425166,0.16808556812874814
1,mean,SlotAtt,0.0001,184065,0.030774920380541256,0.05002749580057695
2,mean,FSPool,0.0005,99093,0.11591017955825442,0.12206620405963127
3,mean,SlotAtt,0.0005,184065,0.027419107404374886,0.04903344350847158
4,mean,FSPool,0.001,99093,0.13740246494611105,0.14586632611586692
5,mean,SlotAtt,0.001,184065,0.028700349349824208,0.05043645168991482
6,mode,FSPool,0.0001,99093,3.6418007593306285,3.239695554083966
7,mode,SlotAtt,0.0001,184065,2.32865187667665,2.2911720322801713
8,mode,FSPool,0.0005,99093,3.5563152839267063,3.080152271909917
9,mode,SlotAtt,0.0005,184065,2.872530306142474,2.658419915843517
10,mode,FSPool,0.001,99093,3.595503566757081,3.1732173536686186
11,mode,SlotAtt,0.001,184065,2.83939717591755,2.7646392734760934
12,variance,FSPool,0.0001,99093,2.440010738751245,3.341557249109796
13,variance,SlotAtt,0.0001,184065,1.177179377230387,1.8543377270089819
14,variance,FSPool,0.0005,99093,2.276577459441291,2.8997231455559427
15,variance,SlotAtt,0.0005,184065,1.1068774953721061,1.7384142478095724
16,variance,FSPool,0.001,99093,1.8572279981204443,2.504390026660676
17,variance,SlotAtt,0.001,184065,2.4054691573930165,2.9645322350745505
18,max,FSPool,0.0001,99093,0.31144608971145415,0.339752456609239
19,max,SlotAtt,0.0001,184065,0.018384076726053737,0.0589860806877705
20,max,FSPool,0.0005,99093,0.1377190344390415,0.15647126104127854
21,max,SlotAtt,0.0005,184065,0.025861228605554926,0.071264154893207424
22,max,FSPool,0.001,99093,0.14944371486467029,0.17385382066540261
23,max,SlotAtt,0.001,184065,0.09067520501446866,0.0936765776007892
24,sum,FSPool,0.0001,99093,10.781680266062418,12.106741377647888
25,sum,SlotAtt,0.0001,184065,53.47125097305056,69.54085110603495
26,sum,FSPool,0.0005,99093,9.239773182641892,10.075894127500819
27,sum,SlotAtt,0.0005,184065,64.71709381587921,74.03971436683167
28,sum,FSPool,0.001,99093,7.96384470803397,9.286393657643744
29,sum,SlotAtt,0.001,184065,122.77328091575986,139.47402596980967
