,Agg func,Model,Learning rate,Parameters,Eval loss,Test loss
0,mean,FSPool,0.0001,99093,0.15610425434415304,0.14935680114208383
1,mean,SlotAtt,0.0001,184065,0.03280213906887978,0.05340444220864075
2,mean,FSPool,0.0005,99093,0.2226264625787735,0.21444425200845332
3,mean,SlotAtt,0.0005,184065,0.02814883061699451,0.0510347614397711
4,mean,FSPool,0.001,99093,0.12238338033831309,0.12082500985645234
5,mean,SlotAtt,0.001,184065,0.03161831262211005,0.05137959949513699
6,mode,FSPool,0.0001,99093,3.461961490767343,3.474262147507769
7,mode,SlotAtt,0.0001,184065,2.448248118635208,2.618647042867985
8,mode,FSPool,0.0005,99093,3.360034526340545,3.343320890944055
9,mode,SlotAtt,0.0005,184065,2.7038964818394375,2.9487228141186083
10,mode,FSPool,0.001,99093,3.2319019200309875,3.514422511800807
11,mode,SlotAtt,0.001,184065,2.8716239285847496,2.850587467183458
12,variance,FSPool,0.0001,99093,3.3585170053300404,3.422749105286091
13,variance,SlotAtt,0.0001,184065,1.5348740508632055,1.8071531515806279
14,variance,FSPool,0.0005,99093,2.76910823772824,2.7741651281397393
15,variance,SlotAtt,0.0005,184065,1.684595853563339,1.8257909942180553
16,variance,FSPool,0.001,99093,2.3843675303080727,2.2780924103361495
17,variance,SlotAtt,0.001,184065,1.4842203212162806,1.9866223212886364
18,max,FSPool,0.0001,99093,0.20619456913499606,0.23766162175130337
19,max,SlotAtt,0.0001,184065,0.011734519357098237,0.07665191822373209
20,max,FSPool,0.0005,99093,0.24960463346233444,0.24261919183141373
21,max,SlotAtt,0.0005,184065,0.028077607431138556,0.09669732615133708
22,max,FSPool,0.001,99093,0.226703436838256,0.24225662803237744
23,max,SlotAtt,0.001,184065,0.1731960117107346,0.23580530832739585
24,sum,FSPool,0.0001,99093,11.416582160525852,11.546588273758584
25,sum,SlotAtt,0.0001,184065,46.19761485145206,60.980003316351706
26,sum,FSPool,0.0005,99093,9.110616237398178,9.574803758174815
27,sum,SlotAtt,0.0005,184065,64.50556873139881,79.28566520772081
28,sum,FSPool,0.001,99093,9.344883812798393,10.020610286834392
29,sum,SlotAtt,0.001,184065,157.99269394647507,178.91493371192445
