,Agg func,Model,Learning rate,Parameters,Eval loss,Test loss
0,mean,FSPool,0.0001,99093,0.16958746929017324,0.18510109352621626
1,mean,SlotAtt,0.0001,184065,0.03184594240571771,0.05934194805457237
2,mean,FSPool,0.0005,99093,0.13813708970944086,0.15647086834019802
3,mean,SlotAtt,0.0005,184065,0.03055787082051947,0.0499434891569012
4,mean,FSPool,0.001,99093,0.12739753486618163,0.13578921592140453
5,mean,SlotAtt,0.001,184065,0.029702409022739008,0.05210181557077994
6,mode,FSPool,0.0001,99093,3.0279095570246377,3.3139214883459376
7,mode,SlotAtt,0.0001,184065,1.8750139924268874,2.649769979905575
8,mode,FSPool,0.0005,99093,3.3543436546174306,3.783511037522174
9,mode,SlotAtt,0.0005,184065,2.109398469092354,2.701420054664003
10,mode,FSPool,0.001,99093,3.5610016168109953,3.9986841272800526
11,mode,SlotAtt,0.001,184065,2.143597994531904,2.7936004544826265
12,variance,FSPool,0.0001,99093,4.536692225743854,4.2245577840094874
13,variance,SlotAtt,0.0001,184065,1.335484417184951,1.798312243629009
14,variance,FSPool,0.0005,99093,2.686002290438092,2.7085109866679984
15,variance,SlotAtt,0.0005,184065,1.383272584941652,1.9005546623722036
16,variance,FSPool,0.001,99093,2.6757141607148305,2.7500459260128913
17,variance,SlotAtt,0.001,184065,6.571228208996001,5.881483203806776
18,max,FSPool,0.0001,99093,0.466674853530195,0.42607084455642297
19,max,SlotAtt,0.0001,184065,0.025334706895851662,0.083486444092543916
20,max,FSPool,0.0005,99093,0.20554308374486271,0.217273797681357
21,max,SlotAtt,0.0005,184065,0.031414190946619895,0.0912429927995904
22,max,FSPool,0.001,99093,0.21932376134726736,0.24695187650541675
23,max,SlotAtt,0.001,184065,0.08046905709696668,0.12973011073339334
24,sum,FSPool,0.0001,99093,13.239186385321238,14.298117617343335
25,sum,SlotAtt,0.0001,184065,46.11138949318538,58.46636757952102
26,sum,FSPool,0.0005,99093,10.227014772475712,10.464025520263835
27,sum,SlotAtt,0.0005,184065,61.87037089514354,77.83910337407538
28,sum,FSPool,0.001,99093,9.132981186821347,9.85436412375024
29,sum,SlotAtt,0.001,184065,170.47298370845735,168.16092722466652
