,Agg func,Model,Learning rate,Parameters,Eval loss,Test loss
0,median,FSPool,0.0001,196245,0.6871660294986907,0.8707693384048787
1,median,SlotAtt,0.0001,281217,0.32507968019871486,0.4330419901996217
2,median,FSPool,0.0005,196245,0.47341406037883155,0.5094833949461897
3,median,SlotAtt,0.0005,281217,0.183109956660441,0.23016104886823513
4,median,FSPool,0.001,196245,0.36839696883209166,0.3982272274950717
5,median,SlotAtt,0.001,281217,0.3421543940073914,0.39414479956030846
6,mean,FSPool,0.0001,196245,0.103616080646004,0.11331647868327638
7,mean,SlotAtt,0.0001,281217,0.01806416981927459,0.04324561775602559
8,mean,FSPool,0.0005,196245,0.06822638940953073,0.0849373570465027
9,mean,SlotAtt,0.0005,281217,0.004348139797839972,0.0320127683325096
10,mean,FSPool,0.001,196245,0.055196801141377476,0.07586141194197092
11,mean,SlotAtt,0.001,281217,0.006716377985116745,0.028100897166679833
12,mode,FSPool,0.0001,196245,4.344159162233746,4.270769791400179
13,mode,SlotAtt,0.0001,281217,3.848640595163618,3.729251337812302
14,mode,FSPool,0.0005,196245,2.991693877984607,2.804572099700887
15,mode,SlotAtt,0.0005,281217,3.2611761783796642,3.1052198714398322
16,mode,FSPool,0.001,196245,3.3145238629409244,3.2291320609919567
17,mode,SlotAtt,0.001,281217,6.593212407732767,6.653061156577253
18,geometric_mean,FSPool,0.0001,196245,0.08381539843385181,0.136407504512116
19,geometric_mean,SlotAtt,0.0001,281217,0.0869932101211614,0.1355423304559465
20,geometric_mean,FSPool,0.0005,196245,0.06636867652987204,0.09840963677344645
21,geometric_mean,SlotAtt,0.0005,281217,0.03942115110019961,0.09576695815392552
22,geometric_mean,FSPool,0.001,196245,0.0630095301358591,0.11187288570316865
23,geometric_mean,SlotAtt,0.001,281217,0.06045209780512821,0.11982614177457512
24,log_mean_exp,FSPool,0.0001,196245,0.10997010791112506,0.14159752872396023
25,log_mean_exp,SlotAtt,0.0001,281217,0.03917046262335683,0.08677938836131324
26,log_mean_exp,FSPool,0.0005,196245,0.05540477880646312,0.09663596907828717
27,log_mean_exp,SlotAtt,0.0005,281217,0.056117393105985625,0.08194921461944567
28,log_mean_exp,FSPool,0.001,196245,0.062321909156347076,0.08229158871232513
29,log_mean_exp,SlotAtt,0.001,281217,0.515429057535671,0.5214964869491597
30,harmonic,FSPool,0.0001,196245,0.14074002904078317,0.15503061717336483
31,harmonic,SlotAtt,0.0001,281217,0.033402117678806895,0.05378353171189256
32,harmonic,FSPool,0.0005,196245,0.06664377912169411,0.08157020426811055
33,harmonic,SlotAtt,0.0005,281217,0.020984047081410176,0.040181802843320874
34,harmonic,FSPool,0.001,196245,0.05470978010386702,0.07776829360568142
35,harmonic,SlotAtt,0.001,281217,0.584412218559356,0.5170875232904515
36,midrange,FSPool,0.0001,196245,0.09728671125476322,0.0878300067195867
37,midrange,SlotAtt,0.0001,281217,0.025390725988443823,0.038423374647886414
38,midrange,FSPool,0.0005,196245,0.02777552684318156,0.03395807785427871
39,midrange,SlotAtt,0.0005,281217,0.03599412906138847,0.02991591740468953
40,midrange,FSPool,0.001,196245,0.028082890861061593,0.02534783322845853
41,midrange,SlotAtt,0.001,281217,0.1006843489668672,0.10096849035471678
42,variance,FSPool,0.0001,196245,2.8351195738429116,2.8705789402444313
43,variance,SlotAtt,0.0001,281217,1.313162094070798,1.9781481110035104
44,variance,FSPool,0.0005,196245,1.5165153221478538,1.7156236723382423
45,variance,SlotAtt,0.0005,281217,1.0066466454475644,1.3146325850740392
46,variance,FSPool,0.001,196245,1.1093771750964816,1.39641025123444
47,variance,SlotAtt,0.001,281217,12.553864781818692,13.162368459904448
48,max,FSPool,0.0001,196245,0.16605332541087317,0.20464471103425355
49,max,SlotAtt,0.0001,281217,0.0445183835450619,0.13138390306205033
50,max,FSPool,0.0005,196245,0.07035620096287439,0.08113029853693467
51,max,SlotAtt,0.0005,281217,0.08287945029044909,0.07172395796713202
52,max,FSPool,0.001,196245,0.05157751238827283,0.08784540529125073
53,max,SlotAtt,0.001,281217,0.1526459095267845,0.17187990865452177
54,sum,FSPool,0.0001,196245,8.839073983449785,8.47982071815653
55,sum,SlotAtt,0.0001,281217,67.98980155823723,70.08192752269989
56,sum,FSPool,0.0005,196245,3.886358938519917,4.843596187043698
57,sum,SlotAtt,0.0005,281217,188.58602130223835,183.9065264438061
58,sum,FSPool,0.001,196245,4.1851590852888805,5.406538220162087
59,sum,SlotAtt,0.001,281217,200.66362847222223,192.75479434398895
