,Agg func,Model,Learning rate,Parameters,Eval loss,Test loss
0,mean,DeepSet,0.0001,99073,0.23748140888554709,0.23533720055476148
1,mean,MeanSet,0.0001,99073,0.2056630322384456,0.20293052446969012
2,mean,PointNet,0.0001,99073,0.29605488952190157,0.3137624366803372
3,mean,HPDS,0.0001,99074,0.18305211679803002,0.18509529380405204
4,mean,QUANN,0.0001,99585,0.010103161868062756,0.02423717537300384
5,mean,SetTransformer,0.0001,166401,0.036487416467732854,0.0525072431191802
6,mean,QUANNTransformer,0.0001,149505,0.006574685528268298,0.02150278995457561
7,mean,DeepSet,0.0005,99073,0.1996602158224772,0.19798635413989107
8,mean,MeanSet,0.0005,99073,0.19466440675277558,0.19963624035107327
9,mean,PointNet,0.0005,99073,0.30441856668108985,0.31857293400358644
10,mean,HPDS,0.0005,99074,0.13793233379958167,0.1414741557487782
11,mean,QUANN,0.0005,99585,0.0064596676448774,0.023760110972092508
12,mean,SetTransformer,0.0005,166401,0.031117185965062133,0.051376929843520866
13,mean,QUANNTransformer,0.0005,149505,0.0042852087155176655,0.01979947379577231
14,mean,DeepSet,0.001,99073,0.20754270563049923,0.20666322849215346
15,mean,MeanSet,0.001,99073,0.20290266923488132,0.20252864173752197
16,mean,PointNet,0.001,99073,0.29587900827801417,0.31345858535868054
17,mean,HPDS,0.001,99074,0.1588774879300405,0.1583852379563007
18,mean,QUANN,0.001,99585,0.004827883922391468,0.022445587650625074
19,mean,SetTransformer,0.001,166401,0.04546991848046818,0.060780181113551275
20,mean,QUANNTransformer,0.001,149505,0.004540070721376983,0.022919044123982338
21,mode,DeepSet,0.0001,99073,3.954457347355192,3.9831739359713616
22,mode,MeanSet,0.0001,99073,3.628884340089465,3.7312261005665395
23,mode,PointNet,0.0001,99073,5.9229622227805,6.226742475590807
24,mode,HPDS,0.0001,99074,3.254217921741425,3.4269259927120617
25,mode,QUANN,0.0001,99585,1.9506708184878032,2.1164038073509297
26,mode,SetTransformer,0.0001,166401,2.835321800103263,3.027789390467583
27,mode,QUANNTransformer,0.0001,149505,1.5191689545199984,1.6167431254970266
28,mode,DeepSet,0.0005,99073,4.662004962800041,4.938236310126934
29,mode,MeanSet,0.0005,99073,3.798029765250191,4.013900408085356
30,mode,PointNet,0.0005,99073,6.139555632121979,6.865452236317574
31,mode,HPDS,0.0005,99074,3.245546045757475,3.280333399772644
32,mode,QUANN,0.0005,99585,0.48145894868861117,0.8421260921601602
33,mode,SetTransformer,0.0005,166401,3.306279426529294,3.7391949562316245
34,mode,QUANNTransformer,0.0005,149505,0.5336349788639281,0.9464045042528751
35,mode,DeepSet,0.001,99073,4.351434552480304,4.4771631626372645
36,mode,MeanSet,0.001,99073,4.057868562047443,4.19266776582028
37,mode,PointNet,0.001,99073,6.240204826233879,6.664933648515255
38,mode,HPDS,0.001,99074,3.2877726914390686,3.39747059218427
39,mode,QUANN,0.001,99585,1.1944229812139557,1.2934124607672082
40,mode,SetTransformer,0.001,166401,3.298824043500991,3.588315611189984
41,mode,QUANNTransformer,0.001,149505,0.4606656904021899,0.7692225948768727
42,variance,DeepSet,0.0001,99073,4.241756916046143,4.695646231478833
43,variance,MeanSet,0.0001,99073,4.649932386383178,5.002071319742406
44,variance,PointNet,0.0001,99073,3.7199817139004905,4.128528561997921
45,variance,HPDS,0.0001,99074,4.506792672096737,4.639161765575409
46,variance,QUANN,0.0001,99585,0.4389552960083598,0.7635656420062197
47,variance,SetTransformer,0.0001,166401,2.611981795893775,3.307541086318645
48,variance,QUANNTransformer,0.0001,149505,0.19095200394827222,0.5767081572495877
49,variance,DeepSet,0.0005,99073,4.086852840014866,4.434726860929043
50,variance,MeanSet,0.0005,99073,3.805749191178216,4.176458396810166
51,variance,PointNet,0.0005,99073,3.3432810552536494,4.023821007698141
52,variance,HPDS,0.0005,99074,4.38148700244843,4.396829329906626
53,variance,QUANN,0.0005,99585,0.2509727031583824,0.5286051295895843
54,variance,SetTransformer,0.0005,166401,1.7807101228880504,2.2720757199728743
55,variance,QUANNTransformer,0.0005,149505,0.18966599074857576,0.5511958993911902
56,variance,DeepSet,0.001,99073,4.016413009355938,4.340088708603636
57,variance,MeanSet,0.001,99073,3.8380065210281855,4.566920007796997
58,variance,PointNet,0.001,99073,3.38725399403345,4.0587359007368695
59,variance,HPDS,0.001,99074,4.137835769426255,4.118612926057044
60,variance,QUANN,0.001,99585,0.11049873234024124,0.5425795681695355
61,variance,SetTransformer,0.001,166401,2.7251886394288807,3.5580395460128784
62,variance,QUANNTransformer,0.001,149505,0.26131019247547976,0.5596237204612252
63,max,DeepSet,0.0001,99073,0.4088434309713424,0.41842496949941554
64,max,MeanSet,0.0001,99073,0.38964107171410606,0.37133812262339794
65,max,PointNet,0.0001,99073,0.2259282325468366,0.24500065820014222
66,max,HPDS,0.0001,99074,0.2865336028829453,0.29443390825961496
67,max,QUANN,0.0001,99585,0.01652218346735315,0.05647372667915485
68,max,SetTransformer,0.0001,166401,0.03667845006936067,0.07140809303506258
69,max,QUANNTransformer,0.0001,149505,0.007719947259858369,0.047920166804613744
70,max,DeepSet,0.0005,99073,0.41652444211973083,0.41541751656443515
71,max,MeanSet,0.0005,99073,0.38817544825493344,0.40198510584044966
72,max,PointNet,0.0005,99073,0.17714528124483805,0.18504955377826032
73,max,HPDS,0.0005,99074,0.2675749674912483,0.27617981051035384
74,max,QUANN,0.0005,99585,0.013941690240735336,0.0647000317607927
75,max,SetTransformer,0.0005,166401,0.07876809701205247,0.10098908040078079
76,max,QUANNTransformer,0.0005,149505,0.011980670799929944,0.05680420270011304
77,max,DeepSet,0.001,99073,0.39904881528918706,0.37938129568987705
78,max,MeanSet,0.001,99073,0.3889408009865927,0.39383171308547893
79,max,PointNet,0.001,99073,0.21373456657405884,0.23977898489287558
80,max,HPDS,0.001,99074,0.25347376614809036,0.28504501830073115
81,max,QUANN,0.001,99585,0.011630658333795884,0.054949405122587974
82,max,SetTransformer,0.001,166401,0.059504453898481434,0.08257251723788361
83,max,QUANNTransformer,0.001,149505,0.014332274189366707,0.058671743819549524
84,sum,DeepSet,0.0001,99073,16.828236413380456,15.360408950359263
85,sum,MeanSet,0.0001,99073,16.756961739252485,16.01820130551115
86,sum,PointNet,0.0001,99073,79.8211555480957,81.69690795654947
87,sum,HPDS,0.0001,99074,19.404176015702504,19.328325281751916
88,sum,QUANN,0.0001,99585,3.7886524730258517,5.783799522734703
89,sum,SetTransformer,0.0001,166401,3.4162890769186474,4.348244762167018
90,sum,QUANNTransformer,0.0001,149505,2.2326592571205564,3.8464093956541507
91,sum,DeepSet,0.0005,99073,17.22901427556598,15.268635475889166
92,sum,MeanSet,0.0005,99073,18.768896042354523,19.666451413580713
93,sum,PointNet,0.0005,99073,81.6305393037342,85.33727560652063
94,sum,HPDS,0.0005,99074,16.549096546475848,16.180257695786498
95,sum,QUANN,0.0005,99585,1.1379973353847626,3.1013527474504836
96,sum,SetTransformer,0.0005,166401,2.8709185151826766,4.042208119275722
97,sum,QUANNTransformer,0.0005,149505,1.0875556303395166,2.5644099572871593
98,sum,DeepSet,0.001,99073,16.11949905516609,14.652492949303161
99,sum,MeanSet,0.001,99073,18.207761545029896,16.392689273712485
100,sum,PointNet,0.001,99073,80.32757386707124,85.7759864076655
101,sum,HPDS,0.001,99074,21.804736712622265,20.19440739205543
102,sum,QUANN,0.001,99585,1.161136675685171,2.924733210275782
103,sum,SetTransformer,0.001,166401,272.24107433500745,263.55084374610414
104,sum,QUANNTransformer,0.001,149505,1.0710823602146573,2.5274761588649546
