,Agg func,Model,Learning rate,Parameters,Eval loss,Test loss
0,mean,DeepSet,0.0001,99073,0.22663050629789866,0.23638321284918076
1,mean,MeanSet,0.0001,99073,0.19546877994896875,0.19294222222363694
2,mean,PointNet,0.0001,99073,0.2931940278836659,0.29507840995458845
3,mean,HPDS,0.0001,99074,0.1469796953929795,0.15866446554502275
4,mean,QUANN,0.0001,99585,0.010928046823080097,0.025896729242571807
5,mean,SetTransformer,0.0001,166401,0.03770585352229693,0.053429660664752444
6,mean,QUANNTransformer,0.0001,149505,0.005430884733204804,0.01950087083721573
7,mean,DeepSet,0.0005,99073,0.2021194308523148,0.2119688244259104
8,mean,MeanSet,0.0005,99073,0.18761787031378066,0.1949692431123967
9,mean,PointNet,0.0005,99073,0.29127681562824853,0.31725267423911296
10,mean,HPDS,0.0005,99074,0.15405382281021465,0.1559979610462138
11,mean,QUANN,0.0005,99585,0.005061843090631541,0.022481432917745823
12,mean,SetTransformer,0.0005,166401,0.026358553829292457,0.038944615219581
13,mean,QUANNTransformer,0.0005,149505,0.005083288830180195,0.021018200291399943
14,mean,DeepSet,0.001,99073,0.19911507126830874,0.21028744009263972
15,mean,MeanSet,0.001,99073,0.1888467376194303,0.19478872378772877
16,mean,PointNet,0.001,99073,0.31686507331000435,0.3221515047740429
17,mean,HPDS,0.001,99074,0.1500448877849276,0.15608169078985426
18,mean,QUANN,0.001,99585,0.00628658871181191,0.022030181561081493
19,mean,SetTransformer,0.001,166401,0.03679419956391766,0.051338806986174684
20,mean,QUANNTransformer,0.001,149505,0.004441055788895086,0.01643986616189532
21,mode,DeepSet,0.0001,99073,3.8914892105829146,3.6911469000451107
22,mode,MeanSet,0.0001,99073,3.5697891996020363,3.5014869951187295
23,mode,PointNet,0.0001,99073,6.210417187403118,6.455335335528597
24,mode,HPDS,0.0001,99074,3.4748732021876743,3.3141180035915783
25,mode,QUANN,0.0001,99585,2.065677588894254,2.0429810329954674
26,mode,SetTransformer,0.0001,166401,2.7595025963253446,2.699916897301978
27,mode,QUANNTransformer,0.0001,149505,1.1321204853436304,1.447564811782634
28,mode,DeepSet,0.0005,99073,4.448774245050219,4.526276825590337
29,mode,MeanSet,0.0005,99073,3.878260684391809,3.740047628575183
30,mode,PointNet,0.0005,99073,6.363614759747944,6.555809873215695
31,mode,HPDS,0.0005,99074,3.2613817784521313,3.320849319087698
32,mode,QUANN,0.0005,99585,0.42869227870352683,0.8502024230250018
33,mode,SetTransformer,0.0005,166401,3.5685924991728766,3.4072425314720642
34,mode,QUANNTransformer,0.0005,149505,0.5665018263435553,0.843963098474481
35,mode,DeepSet,0.001,99073,4.530217823528108,4.3484100800879455
36,mode,MeanSet,0.001,99073,4.074059478820316,3.937470295327775
37,mode,PointNet,0.001,99073,6.372835367444962,6.633477555944564
38,mode,HPDS,0.001,99074,3.4840824187748014,3.2842594733897674
