,Agg func,Model,Learning rate,Parameters,Eval loss,Test loss
0,median,DeepSet,0.0001,196225,0.6689990822757993,0.6769435909834314
1,median,MeanSet,0.0001,196225,0.6054564953323395,0.6645343329044099
2,median,PointNet,0.0001,196225,0.8779507601071918,0.9325999449542228
3,median,HPDS,0.0001,196226,0.614871974502291,0.6429822303830309
4,median,QUANN,0.0001,196737,0.2315961836822449,0.28837098862896576
5,median,SetTransformer,0.0001,263553,0.5145838920559201,0.6014331241554403
6,median,QUANNTransformer,0.0001,246657,0.1732917387215864,0.23800298103943784
7,median,DeepSet,0.0005,196225,0.7836044307739015,0.7370438337960141
8,median,MeanSet,0.0005,196225,0.6457309628289843,0.7509691453677543
9,median,PointNet,0.0005,196225,0.8617230554421743,0.8622419342715689
10,median,HPDS,0.0005,196226,0.32834832464891767,0.34422916435497874
11,median,QUANN,0.0005,196737,0.21619578699270883,0.29026862277471005
12,median,SetTransformer,0.0005,263553,0.3997326424670598,0.41343783523808136
13,median,QUANNTransformer,0.0005,246657,0.06604119514425595,0.134019789058081
14,median,DeepSet,0.001,196225,0.6744912172120715,0.6980339651729198
15,median,MeanSet,0.001,196225,0.5671532946446586,0.6828952872372688
16,median,PointNet,0.001,196225,0.9713574070779104,1.0045064637001524
17,median,HPDS,0.001,196226,,
18,median,QUANN,0.001,196737,0.16042851975985936,0.21361296023539406
19,median,SetTransformer,0.001,263553,0.4262102007392853,0.45647411714208885
20,median,QUANNTransformer,0.001,246657,0.06302456713340704,0.12130345732587924
21,mean,DeepSet,0.0001,196225,0.08992095732144893,0.11459802166420094
22,mean,MeanSet,0.0001,196225,0.09999882051395992,0.1117411964830566
23,mean,PointNet,0.0001,196225,0.13700903668290093,0.16816808053470672
24,mean,HPDS,0.0001,196226,0.1175187233658064,0.12989943680611063
25,mean,QUANN,0.0001,196737,0.00938143520172508,0.034683376545720596
26,mean,SetTransformer,0.0001,263553,0.029370599884598975,0.057548915947529866
27,mean,QUANNTransformer,0.0001,246657,0.005130376036663259,0.028414296298386887
28,mean,DeepSet,0.0005,196225,0.06940888075364961,0.10276444422754835
29,mean,MeanSet,0.0005,196225,0.06972019164453423,0.09686243201189852
30,mean,PointNet,0.0005,196225,0.09058094270054311,0.12245119406663357
31,mean,HPDS,0.0005,196226,0.044853483311950215,0.07614150088518223
32,mean,QUANN,0.0005,196737,0.0035092232042982703,0.027528651265496824
