,Agg func,Model,Learning rate,Parameters,Eval loss,Test loss
0,median,DeepSet,0.0001,196225,0.5860037202872928,0.68110796412889
1,median,MeanSet,0.0001,196225,0.6624027675106412,0.7296108654204835
2,median,PointNet,0.0001,196225,0.9209874759590815,0.9042989007653074
3,median,HPDS,0.0001,196226,0.6162340002400535,0.6354743396031096
4,median,QUANN,0.0001,196737,0.1882458519604471,0.26575446461743496
5,median,SetTransformer,0.0001,263553,0.4819328330812,0.5691527993755138
6,median,QUANNTransformer,0.0001,246657,0.17145030289178803,0.23057643704591912
7,median,DeepSet,0.0005,196225,0.5869787065755754,0.60866551592629
8,median,MeanSet,0.0005,196225,0.55544622549935,0.5904281110839641
9,median,PointNet,0.0005,196225,0.7638947542697664,0.7699920127683497
10,median,HPDS,0.0005,196226,0.34025801221529645,0.38805344570031824
11,median,QUANN,0.0005,196737,0.1362539664029129,0.2129216408555178
12,median,SetTransformer,0.0005,263553,0.29337345856049707,0.31482803195397907
13,median,QUANNTransformer,0.0005,246657,0.0699254216271497,0.14309578359206307
14,median,DeepSet,0.001,196225,0.6017879082096947,0.6134912205186296
15,median,MeanSet,0.001,196225,0.5033904910087585,0.6424447963053875
16,median,PointNet,0.001,196225,0.8053055448191506,0.8155823923805927
17,median,HPDS,0.001,196226,,
18,median,QUANN,0.001,196737,0.44727004709697904,0.5478406796588543
19,median,SetTransformer,0.001,263553,0.4618363996583318,0.46738617962345164
20,median,QUANNTransformer,0.001,246657,0.10567203373278654,0.11478783316078021
21,mean,DeepSet,0.0001,196225,0.08507879385872492,0.10355433036989355
22,mean,MeanSet,0.0001,196225,0.09937539164509092,0.1058818380487092
23,mean,PointNet,0.0001,196225,0.11565753450942418,0.11794345267117023
24,mean,HPDS,0.0001,196226,0.12035858524697167,0.11646012379292478
25,mean,QUANN,0.0001,196737,0.011081195295980525,0.03559527465915109
26,mean,SetTransformer,0.0001,263553,0.027788705414249784,0.051428558195921334
27,mean,QUANNTransformer,0.0001,246657,,
28,mean,DeepSet,0.0005,196225,0.07789575917616723,0.09145273113662893
29,mean,MeanSet,0.0005,196225,0.06789376583719064,0.08480316551124796
30,mean,PointNet,0.0005,196225,0.08922577217694312,0.10033786197767612
31,mean,HPDS,0.0005,196226,0.044349292574066015,0.05585349483930684
32,mean,QUANN,0.0005,196737,0.002841727562352187,0.020018975977399486
33,mean,SetTransformer,0.0005,263553,0.011334895806771422,0.028653064296838452
34,mean,QUANNTransformer,0.0005,246657,0.0031593510431111864,0.018886038931978353
