,Max_k,Model,Learning rate,Parameters,Eval loss,Test loss,Test perf,Img Classif Loss,Img Classif Perf
0,10,FSPool,0.0001,208838,0.2756395439306895,0.27631305348365864,0.5198265047783547,2.550646032333374,0.2538
1,10,SlotAtt,0.0001,287538,0.23377410807306803,0.23389932465680102,0.6049887138478299,2.0428839542388917,0.4583
2,10,FSPool,0.0005,208838,0.2778885407107217,0.27514154131108143,0.5717542336342183,1.7455897775650024,0.4814
3,10,SlotAtt,0.0005,287538,0.2106645866518929,0.2135931703638523,0.6381438260382795,1.5441968467712401,0.5675
4,10,FSPool,0.001,208838,0.3373251935792348,0.33478981668644764,0.5846148139618813,1.6618495710372925,0.4989
5,10,SlotAtt,0.001,287538,0.299296776453654,0.2997977353156881,0.5,3.2952661624908446,0.0634
6,15,FSPool,0.0001,208838,0.32452514720341513,0.32420324042756504,0.511349101015862,3.304482754516602,0.0504
7,15,SlotAtt,0.0001,287538,0.255078827577924,0.2538371526814522,0.6152695772495675,2.0492933589935305,0.454
8,15,FSPool,0.0005,208838,0.32462735355846467,0.32423590313881,0.5109377452667724,3.2996411010742186,0.0634
9,15,SlotAtt,0.0005,287538,0.3329961347201514,0.33300206857792874,0.5,3.295036389541626,0.0634
10,15,FSPool,0.001,208838,0.3246733196197994,0.32433759563780845,0.5122252353962432,3.296575932312012,0.0594
11,15,SlotAtt,0.001,287538,0.3330742712058718,0.33300160030101206,0.5,3.295169088745117,0.0634
12,20,FSPool,0.0001,208838,0.32738533048402696,0.32626741236828743,0.542991744076952,2.5889518325805665,0.2426
13,20,SlotAtt,0.0001,287538,0.263157520738859,0.26233413213110984,0.6281838937008635,2.033584767150879,0.4548
14,20,FSPool,0.0005,208838,0.34284332394599915,0.3429749589017097,0.5241618758820473,3.2971500469207764,0.0594
15,20,SlotAtt,0.0005,287538,0.3570511932410891,0.35690635886598143,0.5,3.2949288482666015,0.0634
16,20,FSPool,0.001,208838,0.2536103401392225,0.25129982258411165,0.6506194446949248,1.678457794570923,0.5156
17,20,SlotAtt,0.001,287538,0.35702830647665357,0.35689652283140955,0.5000240336707298,3.2951599327087404,0.0634
18,25,FSPool,0.0001,208838,0.3410865096818833,0.34114795130618075,0.5466014533600909,2.650703266906738,0.2196
19,25,SlotAtt,0.0001,287538,0.28483542516118004,0.2856636830466859,0.6174765077043087,2.183603002357483,0.4012
20,25,FSPool,0.0005,208838,0.29650126421262346,0.29556390865052,0.6281862766184705,1.6454748954772949,0.5057
21,25,SlotAtt,0.0005,287538,0.3699836063952673,0.3707052450230781,0.5,3.2952424613952638,0.0634
22,25,FSPool,0.001,208838,0.2704928396713166,0.27174572963663873,0.6305367046214164,1.8725068300247192,0.4447
23,25,SlotAtt,0.001,287538,0.3697292076216804,0.3706903280095851,0.49998723192417877,3.2951251640319823,0.0634
