,Max_k,Model,Learning rate,Parameters,Eval loss,Test loss,Test perf,Img Classif Loss,Img Classif Perf
0,10,FSPool,0.0001,208838,0.28449571321881006,0.28433517858068996,0.5144847986545968,2.6104624713897704,0.2372
1,10,SlotAtt,0.0001,287538,0.2281558903909865,0.22836347019418757,0.6146572745860891,1.954611893081665,0.4848
2,10,FSPool,0.0005,208838,0.2972755143566737,0.297434057961119,0.5,3.290456198120117,0.063
3,10,SlotAtt,0.0005,287538,0.30058730736611383,0.3007970109898993,0.5,3.2871178596496584,0.063
4,10,FSPool,0.001,208838,0.29731769315780154,0.2974838202304028,0.5,3.288508368301392,0.063
5,10,SlotAtt,0.001,287538,0.30076532373352655,0.3008665255409606,0.5,3.2871688011169433,0.063
6,15,FSPool,0.0001,208838,0.30730473853292917,0.30517860644675315,0.5382347557138889,2.5381712646484376,0.2617
7,15,SlotAtt,0.0001,287538,0.25150409530079554,0.2528854806689506,0.6148467831155087,2.0226162454605103,0.4721
8,15,FSPool,0.0005,208838,0.32552305620814126,0.32441076446086803,0.5109487290078021,3.2912018127441405,0.063
9,15,SlotAtt,0.0005,287538,0.2460142939336716,0.2449870358439202,0.6255467026791675,1.8784937370300292,0.4701
10,15,FSPool,0.001,208838,0.3255466464019957,0.32443799490624287,0.510943646760697,3.2888525505065918,0.0631
11,15,SlotAtt,0.001,287538,0.33439520048716714,0.3332455681359514,0.5,3.2871752662658693,0.063
12,20,FSPool,0.0001,208838,0.3306112133321308,0.3344941313596482,0.5381030275466594,2.6460349212646483,0.2271
13,20,SlotAtt,0.0001,287538,0.27000670537116034,0.2738137497229779,0.614047257824147,2.1715169998168946,0.4196
14,20,FSPool,0.0005,208838,0.30027212178896345,0.30714108652256905,0.6068898407702751,1.647782942390442,0.506
15,20,SlotAtt,0.0005,287538,0.35577117687179927,0.3588961378691044,0.5,3.2874815853118897,0.063
16,20,FSPool,0.001,208838,0.3421398259344555,0.3448490709700483,0.5238973244707635,3.287985960769653,0.063
17,20,SlotAtt,0.001,287538,0.3557193558367472,0.35880975139901994,0.5,3.2873312019348147,0.063
18,25,FSPool,0.0001,208838,0.32038249382897027,0.32065416904205973,0.5744839316986977,2.491972162246704,0.2869
19,25,SlotAtt,0.0001,287538,0.28996617453438894,0.2888044642007097,0.6123431946368928,2.190107432937622,0.3938
20,25,FSPool,0.0005,208838,0.2633205366040033,0.26167849593974174,0.6374550988065436,1.782567667388916,0.4723
21,25,SlotAtt,0.0005,287538,0.3697274104943351,0.37034358559770786,0.5000474754166095,3.2871286445617676,0.063
22,25,FSPool,0.001,208838,0.26641612724652364,0.26666789961622117,0.6434730310389336,1.7842454345703125,0.468
23,25,SlotAtt,0.001,287538,0.3698035341406625,0.37037345101224617,0.4999900777289208,3.287258117675781,0.063
